,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715287200000,198286.3,1899582.754,1.9146,0.6569,0.3431,1.417,0.5863,0.4137,1.7617,0.6379,0.3621,,,,,,,
1,1715287500000,198262.5,1900147.8,1.9197,0.6575,0.3425,1.4181,0.5865,0.4135,1.7248,0.633,0.367,,,,,,,
2,1715287800000,198129.9,1898464.34617676,1.9197,0.6575,0.3425,1.4182,0.5865,0.4135,1.73,0.6337,0.3663,,,,,,,
3,1715288100000,198371.0,1902973.003,1.8902,0.654,0.346,1.4186,0.5865,0.4135,1.7137,0.6315,0.3685,,,,,,,
4,1715288400000,198324.8,1903918.08,1.8944,0.6545,0.3455,1.4227,0.5872,0.4128,1.6831,0.6273,0.3727,,,,,,,
5,1715288700000,198097.1,1908009.45298092,1.9967,0.6663,0.3337,1.4214,0.587,0.413,1.7382,0.6348,0.3652,,,,,,,
6,1715289000000,198026.8,1910273.00963277,2.0021,0.6669,0.3331,1.4223,0.5872,0.4128,1.7405,0.6351,0.3649,,,,,,,
7,1715289300000,198044.5,1907518.87968139,2.0093,0.6677,0.3323,1.4214,0.587,0.413,1.7518,0.6366,0.3634,,,,,,,
8,1715289600000,197712.4,1900213.8764,2.0202,0.6689,0.3311,1.4221,0.5871,0.4129,1.7579,0.6374,0.3626,,,,,,,
9,1715289900000,197746.9,1899161.2276,2.0276,0.6697,0.3303,1.4237,0.5874,0.4126,1.798,0.6426,0.3574,,,,,,,
10,1715290200000,197514.2,1894875.54538342,2.0276,0.6697,0.3303,1.4244,0.5875,0.4125,1.7755,0.6397,0.3603,,,,,,,
11,1715290500000,197570.6,1893994.24942268,2.0294,0.6699,0.3301,1.4205,0.5869,0.4131,1.8129,0.6445,0.3555,,,,,,,
12,1715290800000,197401.7,1890910.8843,1.8986,0.655,0.345,1.4183,0.5865,0.4135,1.7352,0.6344,0.3656,,,,,,,
13,1715291100000,197265.0,1890587.76,1.9104,0.6564,0.3436,1.4164,0.5862,0.4138,1.736,0.6345,0.3655,,,,,,,
14,1715291400000,197186.8,1893387.6536,1.9291,0.6586,0.3414,1.418,0.5864,0.4136,1.7541,0.6369,0.3631,,,,,,,
15,1715291700000,196009.2,1888940.6604,1.9308,0.6588,0.3412,1.4174,0.5863,0.4137,1.7655,0.6384,0.3616,,,,,,,
16,1715292000000,195962.0,1887490.13655306,1.924,0.658,0.342,1.4231,0.5873,0.4127,1.7617,0.6379,0.3621,,,,,,,
17,1715292300000,195640.8,1881477.5736,1.9019,0.6554,0.3446,1.4221,0.5871,0.4129,1.7601,0.6377,0.3623,,,,,,,
18,1715292600000,195650.4,1881765.5472,1.8885,0.6538,0.3462,1.4217,0.5871,0.4129,1.7405,0.6351,0.3649,,,,,,,
19,1715292900000,195612.3,1884522.52515127,1.8918,0.6542,0.3458,1.4208,0.5869,0.4131,1.7255,0.6331,0.3669,,,,,,,
20,1715293200000,195527.9,1886453.1792,1.9291,0.6586,0.3414,1.4206,0.5869,0.4131,1.7315,0.6339,0.3661,,,,,,,
21,1715293500000,195520.1,1886375.49644036,1.8835,0.6532,0.3468,1.4207,0.5869,0.4131,1.7115,0.6312,0.3688,,,,,,,
22,1715293800000,195385.6,1887082.49055142,1.8977,0.6549,0.3451,1.4209,0.5869,0.4131,1.7211,0.6325,0.3675,,,,,,,
23,1715294100000,195338.9,1885435.55634467,1.9053,0.6558,0.3442,1.4141,0.5858,0.4142,1.7442,0.6356,0.3644,,,,,,,
24,1715294400000,195281.2,1889747.25265529,1.9104,0.6564,0.3436,1.4139,0.5857,0.4143,1.7518,0.6366,0.3634,,,,,,,
25,1715294700000,195165.9,1897906.75716896,1.8969,0.6548,0.3452,1.4145,0.5858,0.4142,1.7278,0.6334,0.3666,,,,,,,
26,1715295000000,196904.9,1918050.6309,1.9036,0.6556,0.3444,1.4165,0.5862,0.4138,1.7196,0.6323,0.3677,,,,,,,
27,1715295300000,197469.9,1928688.5133,1.9121,0.6566,0.3434,1.3987,0.5831,0.4169,1.7556,0.6371,0.3629,,,,,,,
28,1715295600000,197397.9,1925419.1166,1.9044,0.6557,0.3443,1.4037,0.584,0.416,1.7457,0.6358,0.3642,,,,,,,
29,1715295900000,196298.6,1906452.0032,1.9044,0.6557,0.3443,1.4071,0.5846,0.4154,1.7181,0.6321,0.3679,,,,,,,
30,1715296200000,196214.0,1903472.014,1.9172,0.6572,0.3428,1.4049,0.5842,0.4158,1.7778,0.64,0.36,,,,,,,
31,1715296500000,196285.0,1902912.38295725,1.9223,0.6578,0.3422,1.4043,0.5841,0.4159,1.7594,0.6376,0.3624,,,,,,,
32,1715296800000,196302.3,1903571.51947843,1.9104,0.6564,0.3436,1.4051,0.5842,0.4158,1.7488,0.6362,0.3638,,,,,,,
33,1715297100000,196353.3,1901659.78961759,1.9343,0.6592,0.3408,1.403,0.5839,0.4161,1.7785,0.6401,0.3599,,,,,,,
34,1715297400000,197280.2,1912666.44970419,1.9257,0.6582,0.3418,1.4037,0.584,0.416,1.7473,0.636,0.364,,,,,,,
35,1715297700000,197326.1,1911678.8333487,1.9053,0.6558,0.3442,1.3955,0.5825,0.4175,1.7556,0.6371,0.3629,,,,,,,
36,1715298000000,197248.9,1908508.67812223,1.8952,0.6546,0.3454,1.3965,0.5827,0.4173,1.7412,0.6352,0.3648,,,,,,,
37,1715298300000,197330.8,1908280.7684731,1.9274,0.6584,0.3416,1.3969,0.5828,0.4172,1.7518,0.6366,0.3634,,,,,,,
38,1715298600000,197290.3,1910164.6846,1.9274,0.6584,0.3416,1.3979,0.583,0.417,1.7548,0.637,0.363,,,,,,,
39,1715298900000,197386.1,1913263.4673,1.936,0.6594,0.3406,1.3979,0.583,0.417,1.7594,0.6376,0.3624,,,,,,,
40,1715299200000,197393.7,1913139.7404,1.9223,0.6578,0.3422,1.398,0.583,0.417,1.742,0.6353,0.3647,,,,,,,
41,1715299500000,196552.6,1899962.77670445,1.8885,0.6538,0.3462,1.3981,0.583,0.417,1.7427,0.6354,0.3646,,,,,,,
42,1715299800000,196590.9,1902827.01620118,1.9967,0.6663,0.3337,1.4012,0.5835,0.4165,1.8082,0.6439,0.3561,,,,,,,
43,1715300100000,196540.5,1901693.13042189,2.0093,0.6677,0.3323,1.4015,0.5836,0.4164,1.8003,0.6429,0.3571,,,,,,,
44,1715300400000,196457.6,1899970.19920518,2.0111,0.6679,0.3321,1.4011,0.5835,0.4165,1.7894,0.6415,0.3585,,,,,,,
45,1715300700000,196465.8,1897859.628,2.0093,0.6677,0.3323,1.4116,0.5853,0.4147,1.7964,0.6424,0.3576,,,,,,,
46,1715301000000,196066.4,1892825.0256,2.0057,0.6673,0.3327,1.4106,0.5852,0.4148,1.798,0.6426,0.3574,,,,,,,
47,1715301300000,195854.7,1891797.35231522,2.0075,0.6675,0.3325,1.4116,0.5853,0.4147,1.8035,0.6433,0.3567,,,,,,,
48,1715301600000,195842.2,1891719.47644854,1.9815,0.6646,0.3354,1.4118,0.5854,0.4146,1.7793,0.6402,0.3598,,,,,,,
49,1715301900000,195806.1,1893249.1809,1.9551,0.6616,0.3384,1.4116,0.5853,0.4147,1.7503,0.6364,0.3636,,,,,,,
50,1715302200000,195482.8,1884649.6748,1.9516,0.6612,0.3388,1.4112,0.5853,0.4147,1.7579,0.6374,0.3626,,,,,,,
51,1715302500000,195433.6,1884761.6384,1.9369,0.6595,0.3405,1.4163,0.5862,0.4138,1.7902,0.6416,0.3584,,,,,,,
52,1715302800000,195426.4,1885162.75710298,1.9533,0.6614,0.3386,1.4152,0.586,0.414,1.7894,0.6415,0.3585,,,,,,,
53,1715303100000,195303.1,1885846.7336,1.9317,0.6589,0.3411,1.4148,0.5859,0.4141,1.7824,0.6406,0.3594,,,,,,,
54,1715303400000,195257.3,1881381.78033224,1.9044,0.6557,0.3443,1.4135,0.5857,0.4143,1.8209,0.6455,0.3545,,,,,,,
55,1715303700000,195022.0,1877086.75,1.9472,0.6607,0.3393,1.4199,0.5868,0.4132,1.8161,0.6449,0.3551,,,,,,,
56,1715304000000,194985.7,1880222.92102363,1.9011,0.6553,0.3447,1.4185,0.5865,0.4135,1.8058,0.6436,0.3564,,,,,,,
57,1715304300000,195163.8,1883135.5062,1.9438,0.6603,0.3397,1.4187,0.5865,0.4135,1.8058,0.6436,0.3564,,,,,,,
58,1715304600000,195090.4,1885241.52470526,1.9551,0.6616,0.3384,1.4217,0.5871,0.4129,1.8035,0.6433,0.3567,,,,,,,
59,1715304900000,195068.2,1888484.9921005,1.9438,0.6603,0.3397,1.4228,0.5873,0.4127,1.7762,0.6398,0.3602,,,,,,,
60,1715305200000,195476.8,1894298.21562062,1.9525,0.6613,0.3387,1.4234,0.5874,0.4126,1.7693,0.6389,0.3611,,,,,,,
61,1715305500000,195274.2,1888073.45326182,1.9464,0.6606,0.3394,1.4229,0.5873,0.4127,1.777,0.6399,0.3601,,,,,,,
62,1715305800000,195653.4,1890207.4974,1.9638,0.6626,0.3374,1.4224,0.5872,0.4128,1.8233,0.6458,0.3542,,,,,,,
