timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,basisRate,futuresPrice,basis
1715286900000,291184.41700000,6821841.15014080,2.8610,0.7410,0.2590,1.7629,0.6381,0.3619,2.5587,0.7190,0.2810,-0.0008,23.42,-0.01939688
1715287200000,291159.76400000,6824052.39463011,2.8685,0.7415,0.2585,1.7600,0.6377,0.3623,2.5765,0.7204,0.2796,-0.0009,23.43,-0.02187328
1715287500000,291061.53100000,6825392.90195000,2.8640,0.7412,0.2588,1.7626,0.6380,0.3620,2.5753,0.7203,0.2797,-0.0001,23.45,-0.00247797
1715287800000,290927.20700000,6836888.23902057,2.8565,0.7407,0.2593,1.7604,0.6377,0.3623,2.5740,0.7202,0.2798,-0.0014,23.48,-0.03362015
1715288100000,290862.88200000,6832845.44141322,2.8595,0.7409,0.2591,1.7608,0.6378,0.3622,2.5842,0.7210,0.2790,-0.0011,23.49,-0.02693798
1715288400000,290911.20600000,6839413.45590346,2.8685,0.7415,0.2585,1.7605,0.6377,0.3623,2.5894,0.7214,0.2786,-0.0011,23.50,-0.02701942
1715288700000,290850.69200000,6844372.64234494,2.8565,0.7407,0.2593,1.7598,0.6377,0.3623,2.5894,0.7214,0.2786,-0.0012,23.53,-0.02773200
1715289000000,291020.58600000,6852084.89499767,2.8491,0.7402,0.2598,1.7568,0.6373,0.3627,2.5894,0.7214,0.2786,-0.0013,23.54,-0.02956125
1715289300000,290921.65500000,6843661.22254737,2.8388,0.7395,0.2605,1.7598,0.6377,0.3623,2.5804,0.7207,0.2793,-0.0012,23.51,-0.02837302
1715289600000,291065.12700000,6840030.48450000,2.8491,0.7402,0.2598,1.7593,0.6376,0.3624,2.5791,0.7206,0.2794,-0.0010,23.49,-0.02394656
1715289900000,290506.59500000,6825124.56635149,2.8640,0.7412,0.2588,1.7602,0.6377,0.3623,2.6062,0.7227,0.2773,-0.0001,23.50,-0.00156448
1715290200000,290482.26700000,6826333.27450000,2.8865,0.7427,0.2573,1.7607,0.6378,0.3622,2.6179,0.7236,0.2764,-0.0006,23.49,-0.01299899
1715290500000,290726.57800000,6821157.94826666,2.8835,0.7425,0.2575,1.7541,0.6369,0.3631,2.6193,0.7237,0.2763,-0.0007,23.46,-0.01653130
1715290800000,290942.65200000,6820361.25055505,2.8700,0.7416,0.2584,1.7525,0.6367,0.3633,2.6101,0.7230,0.2770,-0.0004,23.44,-0.01032434
1715291100000,290618.15000000,6812089.43600000,2.8865,0.7427,0.2573,1.7572,0.6373,0.3627,2.6271,0.7243,0.2757,-0.0006,23.44,-0.01401055
1715291400000,290602.58700000,6814630.66515000,2.9047,0.7439,0.2561,1.7570,0.6373,0.3627,2.6364,0.7250,0.2750,-0.0001,23.45,-0.00184387
1715291700000,291189.81700000,6837136.90316000,2.9032,0.7438,0.2562,1.7473,0.6360,0.3640,2.6377,0.7251,0.2749,-0.0004,23.48,-0.00972535
1715292000000,291069.95500000,6831411.84385000,2.9078,0.7441,0.2559,1.7509,0.6365,0.3635,2.6193,0.7237,0.2763,-0.0010,23.46,-0.02339272
1715292300000,290966.00300000,6823152.77035000,2.8956,0.7433,0.2567,1.7505,0.6364,0.3636,2.6364,0.7250,0.2750,-0.0009,23.45,-0.02163316
1715292600000,290883.87600000,6824135.73096000,2.9017,0.7437,0.2563,1.7522,0.6367,0.3633,2.6417,0.7254,0.2746,-0.0014,23.45,-0.03333125
1715292900000,291338.57700000,6838415.67304252,2.8956,0.7433,0.2567,1.7484,0.6362,0.3638,2.6350,0.7249,0.2751,-0.0010,23.47,-0.02288101
1715293200000,291318.36200000,6837241.95614000,2.8835,0.7425,0.2575,1.7484,0.6362,0.3638,2.6350,0.7249,0.2751,-0.0008,23.47,-0.01919997
1715293500000,291270.90000000,6837101.24063275,2.8835,0.7425,0.2575,1.7487,0.6362,0.3638,2.6324,0.7247,0.2753,-0.0016,23.46,-0.03828503
1715293800000,291164.65800000,6836952.37074273,2.8986,0.7435,0.2565,1.7506,0.6364,0.3636,2.6350,0.7249,0.2751,-0.0010,23.48,-0.02312530
1715294100000,291149.89800000,6827465.10810000,2.8971,0.7434,0.2566,1.7510,0.6365,0.3635,2.6350,0.7249,0.2751,-0.0012,23.45,-0.02777735
1715294400000,291190.55400000,6837154.20792000,2.9262,0.7453,0.2547,1.7446,0.6357,0.3643,2.6873,0.7288,0.2712,-0.0006,23.47,-0.01447128
1715294700000,291342.01100000,6845275.02215076,2.9262,0.7453,0.2547,1.7435,0.6355,0.3645,2.6941,0.7293,0.2707,0.0000,23.51,0.00112050
1715295000000,291138.65400000,6854318.91736734,2.9216,0.7450,0.2550,1.7429,0.6354,0.3646,2.7078,0.7303,0.2697,-0.0012,23.53,-0.02844114
1715295300000,291095.15900000,6866934.80081000,2.9417,0.7463,0.2537,1.7438,0.6355,0.3645,2.7051,0.7301,0.2699,-0.0009,23.59,-0.02118917
1715295600000,292415.87100000,6882430.45090755,2.9355,0.7459,0.2541,1.7575,0.6374,0.3626,2.7147,0.7308,0.2692,-0.0017,23.54,-0.03982946
1715295900000,292108.26500000,6871241.32358567,2.9108,0.7443,0.2557,1.7595,0.6376,0.3624,2.6982,0.7296,0.2704,-0.0017,23.52,-0.04052354
1715296200000,292092.48900000,6867094.41639000,2.9308,0.7456,0.2544,1.7601,0.6377,0.3623,2.6996,0.7297,0.2703,-0.0014,23.50,-0.03388166
1715296500000,292194.68500000,6854887.31010000,2.9370,0.7460,0.2540,1.7562,0.6372,0.3628,2.7037,0.7300,0.2700,-0.0003,23.46,-0.00804506
1715296800000,292397.03900000,6856710.56455000,2.9494,0.7468,0.2532,1.7545,0.6370,0.3630,2.7202,0.7312,0.2688,-0.0008,23.45,-0.01873592
1715297100000,292378.47300000,6847503.83766000,2.9620,0.7476,0.2524,1.7564,0.6372,0.3628,2.7120,0.7306,0.2694,-0.0007,23.42,-0.01558622
1715297400000,292048.97100000,6833945.92140000,2.9761,0.7485,0.2515,1.7629,0.6381,0.3619,2.7230,0.7314,0.2686,-0.0010,23.40,-0.02372300
1715297700000,292209.56200000,6839667.94841062,2.9557,0.7472,0.2528,1.7568,0.6373,0.3627,2.6996,0.7297,0.2703,-0.0014,23.39,-0.03365273
