,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,504117.1,4598556.1862,3.4287,0.7742,0.2258,2.1927,0.6868,0.3132,2.1192,0.6794,0.3206,,,,,,,
1,1715287200000,505592.1,4621792.69510475,3.4014,0.7728,0.2272,2.1871,0.6862,0.3138,2.126,0.6801,0.3199,,,,,,,
2,1715287500000,505815.4,4623190.36337499,3.3917,0.7723,0.2277,2.1873,0.6863,0.3137,2.1192,0.6794,0.3206,,,,,,,
3,1715287800000,505528.0,4620525.92,3.3898,0.7722,0.2278,2.1869,0.6862,0.3138,2.125,0.68,0.32,,,,,,,
4,1715288100000,504104.5,4601245.69323649,3.4307,0.7743,0.2257,2.193,0.6868,0.3132,2.1666,0.6842,0.3158,,,,,,,
5,1715288400000,504544.2,4606993.0902,3.3956,0.7725,0.2275,2.1914,0.6867,0.3133,2.1407,0.6816,0.3184,,,,,,,
6,1715288700000,504615.2,4625334.60798841,3.384,0.7719,0.2281,2.1875,0.6863,0.3137,2.1046,0.6779,0.3221,,,,,,,
7,1715289000000,504945.6,4634390.7168,3.3422,0.7697,0.2303,2.1897,0.6865,0.3135,2.095,0.6769,0.3231,,,,,,,
8,1715289300000,505136.4,4620750.07506152,3.3725,0.7713,0.2287,2.1868,0.6862,0.3138,2.1192,0.6794,0.3206,,,,,,,
9,1715289600000,505084.1,4614448.3376,3.3706,0.7712,0.2288,2.1882,0.6863,0.3137,2.1289,0.6804,0.3196,,,,,,,
10,1715289900000,505337.3,4621468.04690367,3.3516,0.7702,0.2298,2.1884,0.6864,0.3136,2.1008,0.6775,0.3225,,,,,,,
11,1715290200000,505380.8,4626217.33823685,3.3422,0.7697,0.2303,2.1887,0.6864,0.3136,2.0989,0.6773,0.3227,,,,,,,
12,1715290500000,504898.0,4611233.434,3.384,0.7719,0.2281,2.1896,0.6865,0.3135,2.1387,0.6814,0.3186,,,,,,,
13,1715290800000,504867.0,4603952.02639812,3.3783,0.7716,0.2284,2.193,0.6868,0.3132,2.127,0.6802,0.3198,,,,,,,
14,1715291100000,505103.7,4602834.16119581,3.386,0.772,0.228,2.1919,0.6867,0.3133,2.1417,0.6817,0.3183,,,,,,,
15,1715291400000,505477.4,4609448.4106,3.3802,0.7717,0.2283,2.1907,0.6866,0.3134,2.1299,0.6805,0.3195,,,,,,,
16,1715291700000,505259.8,4611130.86235757,3.386,0.772,0.228,2.1903,0.6865,0.3135,2.1377,0.6813,0.3187,,,,,,,
17,1715292000000,505470.9,4614389.58885359,3.3956,0.7725,0.2275,2.1904,0.6866,0.3134,2.127,0.6802,0.3198,,,,,,,
18,1715292300000,505663.2,4609625.7312,3.4053,0.773,0.227,2.1898,0.6865,0.3135,2.1309,0.6806,0.3194,,,,,,,
19,1715292600000,505643.1,4610959.4289,3.4014,0.7728,0.2272,2.1898,0.6865,0.3135,2.1309,0.6806,0.3194,,,,,,,
20,1715292900000,506681.6,4629936.74207155,3.3535,0.7703,0.2297,2.181,0.6856,0.3144,2.1017,0.6776,0.3224,,,,,,,
21,1715293200000,506484.1,4625212.8012,3.3783,0.7716,0.2284,2.1807,0.6856,0.3144,2.126,0.6801,0.3199,,,,,,,
22,1715293500000,506529.4,4628159.1278,3.3802,0.7717,0.2283,2.1799,0.6855,0.3145,2.126,0.6801,0.3199,,,,,,,
23,1715293800000,506207.2,4627250.26083373,3.4111,0.7733,0.2267,2.1816,0.6857,0.3143,2.1417,0.6817,0.3183,,,,,,,
24,1715294100000,506155.7,4623292.56636628,3.4053,0.773,0.227,2.1818,0.6857,0.3143,2.1387,0.6814,0.3186,,,,,,,
25,1715294400000,506434.1,4630313.32790101,3.4307,0.7743,0.2257,2.1796,0.6855,0.3145,2.1566,0.6832,0.3168,,,,,,,
26,1715294700000,506365.2,4644381.6144,3.417,0.7736,0.2264,2.1799,0.6855,0.3145,2.1486,0.6824,0.3176,,,,,,,
27,1715295000000,505748.4,4650254.90280154,3.4053,0.773,0.227,2.1857,0.6861,0.3139,2.1407,0.6816,0.3184,,,,,,,
28,1715295300000,506848.1,4664327.97846631,3.3346,0.7693,0.2307,2.1801,0.6855,0.3145,2.1027,0.6777,0.3223,,,,,,,
29,1715295600000,506513.8,4662459.529,3.3103,0.768,0.232,2.1839,0.6859,0.3141,2.0836,0.6757,0.3243,,,,,,,
30,1715295900000,505522.7,4647940.78729291,3.3516,0.7702,0.2298,2.1897,0.6865,0.3135,2.1056,0.678,0.322,,,,,,,
31,1715296200000,505181.2,4626532.65315089,3.3611,0.7707,0.2293,2.1908,0.6866,0.3134,2.1104,0.6785,0.3215,,,,,,,
32,1715296500000,504684.3,4618999.09014539,3.3687,0.7711,0.2289,2.1992,0.6874,0.3126,2.1192,0.6794,0.3206,,,,,,,
33,1715296800000,504752.8,4615964.356,3.3956,0.7725,0.2275,2.2016,0.6877,0.3123,2.123,0.6798,0.3202,,,,,,,
34,1715297100000,503742.9,4604210.106,3.4033,0.7729,0.2271,2.2211,0.6895,0.3105,2.1162,0.6791,0.3209,,,,,,,
35,1715297400000,503654.3,4607442.64652143,3.3917,0.7723,0.2277,2.2217,0.6896,0.3104,2.1114,0.6786,0.3214,,,,,,,
36,1715297700000,503573.5,4605344.35121318,3.3937,0.7724,0.2276,2.2232,0.6898,0.3102,2.1066,0.6781,0.3219,,,,,,,
37,1715298000000,503729.3,4600559.6969,3.3764,0.7715,0.2285,2.2221,0.6896,0.3104,2.0989,0.6773,0.3227,,,,,,,
38,1715298300000,503841.4,4596545.0922,3.3879,0.7721,0.2279,2.2208,0.6895,0.3105,2.1056,0.678,0.322,,,,,,,
39,1715298600000,503815.2,4609716.32534263,3.3937,0.7724,0.2276,2.2205,0.6895,0.3105,2.1095,0.6784,0.3216,,,,,,,
40,1715298900000,503825.7,4605333.29516381,3.386,0.772,0.228,2.2205,0.6895,0.3105,2.1037,0.6778,0.3222,,,,,,,
41,1715299200000,503924.4,4612923.9576,3.3898,0.7722,0.2278,2.2205,0.6895,0.3105,2.1066,0.6781,0.3219,,,,,,,
42,1715299500000,503741.6,4620720.66134729,3.386,0.772,0.228,2.2338,0.6908,0.3092,2.1017,0.6776,0.3224,,,,,,,
43,1715299800000,503515.3,4635865.3671,3.3649,0.7709,0.2291,2.2374,0.6911,0.3089,2.0798,0.6753,0.3247,,,,,,,
44,1715300100000,503411.5,4630882.3885,3.2974,0.7673,0.2327,2.2404,0.6914,0.3086,2.0656,0.6738,0.3262,,,,,,,
45,1715300400000,503235.9,4647383.5365,3.3066,0.7678,0.2322,2.2485,0.6922,0.3078,2.075,0.6748,0.3252,,,,,,,
46,1715300700000,504071.5,4641490.372,3.2808,0.7664,0.2336,2.2404,0.6914,0.3086,2.0893,0.6763,0.3237,,,,,,,
47,1715301000000,504244.3,4646387.42070989,3.2589,0.7652,0.2348,2.2436,0.6917,0.3083,2.0628,0.6735,0.3265,,,,,,,
48,1715301300000,504416.9,4655263.5701,3.2589,0.7652,0.2348,2.2314,0.6905,0.3095,2.0581,0.673,0.327,,,,,,,
49,1715301600000,504704.1,4660903.10256806,3.2699,0.7658,0.2342,2.2357,0.691,0.309,2.0731,0.6746,0.3254,,,,,,,
50,1715301900000,504850.6,4667343.797,3.2699,0.7658,0.2342,2.2344,0.6908,0.3092,2.0637,0.6736,0.3264,,,,,,,
51,1715302200000,505449.2,4666552.13704403,3.2662,0.7656,0.2344,2.2346,0.6908,0.3092,2.0703,0.6743,0.3257,,,,,,,
52,1715302500000,505937.6,4676554.44959674,3.2918,0.767,0.233,2.2295,0.6904,0.3096,2.076,0.6749,0.3251,,,,,,,
53,1715302800000,506252.3,4677882.42500508,3.2937,0.7671,0.2329,2.2268,0.6901,0.3099,2.0836,0.6757,0.3243,,,,,,,
54,1715303100000,506407.0,4686290.378,3.2753,0.7661,0.2339,2.2237,0.6898,0.3102,2.0722,0.6745,0.3255,,,,,,,
