timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,basisRate,futuresPrice,basis
1715287200000,113975118.00000000,13315713.03594000,4.6402,0.8227,0.1773,1.8042,0.6434,0.3566,5.1614,0.8377,0.1623,0.0030,0.1168400,0.00034500
1715287500000,113982556.00000000,13308138.18973152,4.5710,0.8205,0.1795,1.7998,0.6428,0.3572,5.1200,0.8366,0.1634,0.0026,0.1168200,0.00030750
1715287800000,114031785.00000000,13305228.67380000,4.5525,0.8199,0.1801,1.7986,0.6427,0.3573,5.1200,0.8366,0.1634,0.0007,0.1166800,0.00008000
1715288100000,114005007.00000000,13312364.66739000,4.6306,0.8224,0.1776,1.7986,0.6427,0.3573,5.1881,0.8384,0.1616,0.0007,0.1168000,0.00008250
1715288400000,113989338.00000000,13318514.25192000,4.5835,0.8209,0.1791,1.7998,0.6428,0.3572,5.1162,0.8365,0.1635,0.0009,0.1168700,0.00010250
1715288700000,113908554.00000000,13372864.23960000,4.5648,0.8203,0.1797,1.7996,0.6428,0.3572,5.1275,0.8368,0.1632,0.0020,0.1174300,0.00023500
1715289000000,113734743.00000000,13378617.81909000,4.5710,0.8205,0.1795,1.7983,0.6426,0.3574,5.1538,0.8375,0.1625,0.0014,0.1176300,0.00016000
1715289300000,113904861.00000000,13332440.96280012,4.5991,0.8214,0.1786,1.8008,0.6430,0.3570,5.1767,0.8381,0.1619,-0.0005,0.1170100,-0.00006250
1715289600000,113813596.00000000,13292782.68971068,4.6465,0.8229,0.1771,1.8029,0.6432,0.3568,5.1652,0.8378,0.1622,0.0008,0.1168000,0.00009000
1715289900000,113836377.00000000,13273131.45145041,4.5866,0.8210,0.1790,1.8046,0.6434,0.3566,5.1200,0.8366,0.1634,0.0012,0.1166300,0.00013750
1715290200000,113842316.00000000,13272875.62244000,4.6211,0.8221,0.1779,1.8052,0.6435,0.3565,5.1387,0.8371,0.1629,0.0003,0.1165800,0.00003500
1715290500000,113930264.00000000,13260979.15783312,4.6306,0.8224,0.1776,1.8043,0.6434,0.3566,5.1690,0.8379,0.1621,0.0008,0.1164000,0.00009500
1715290800000,113865433.00000000,13257352.36419000,4.6786,0.8239,0.1761,1.8066,0.6437,0.3563,5.2461,0.8399,0.1601,0.0010,0.1164500,0.00012000
1715291100000,113747790.00000000,13257978.31141680,4.6818,0.8240,0.1760,1.8075,0.6438,0.3562,5.2305,0.8395,0.1605,0.0020,0.1166300,0.00023000
1715291400000,113647393.00000000,13245347.94751575,4.6850,0.8241,0.1759,1.8063,0.6437,0.3563,5.2267,0.8394,0.1606,0.0012,0.1166000,0.00013750
1715291700000,113654146.00000000,13290053.22956882,4.7176,0.8251,0.1749,1.8061,0.6436,0.3564,5.3331,0.8421,0.1579,0.0027,0.1170400,0.00031500
1715292000000,113469906.00000000,13266901.40952000,4.7110,0.8249,0.1751,1.8054,0.6435,0.3565,5.3532,0.8426,0.1574,0.0010,0.1169400,0.00012250
1715292300000,113355551.00000000,13245652.81212550,4.8038,0.8277,0.1723,1.8085,0.6439,0.3561,5.6313,0.8492,0.1508,0.0010,0.1168200,0.00011500
1715292600000,113195899.00000000,13267691.32179000,4.7737,0.8268,0.1732,1.8068,0.6437,0.3563,5.6225,0.8490,0.1510,0.0005,0.1172100,0.00005750
1715292900000,113087051.00000000,13297388.38839642,4.7637,0.8265,0.1735,1.8088,0.6440,0.3560,5.6357,0.8493,0.1507,0.0021,0.1176000,0.00024500
1715293200000,113074281.00000000,13289620.24593000,4.7571,0.8263,0.1737,1.8103,0.6442,0.3558,5.6138,0.8488,0.1512,0.0010,0.1175100,0.00011250
1715293500000,112979868.00000000,13275134.49000000,4.7438,0.8259,0.1741,1.8121,0.6444,0.3556,5.6050,0.8486,0.1514,0.0009,0.1174900,0.00010500
1715293800000,112889207.00000000,13297906.05890856,4.7372,0.8257,0.1743,1.8122,0.6444,0.3556,5.6445,0.8495,0.1505,0.0012,0.1178300,0.00014000
1715294100000,112810675.00000000,13283456.98125000,4.7438,0.8259,0.1741,1.8095,0.6441,0.3559,5.6357,0.8493,0.1507,0.0007,0.1177600,0.00008250
1715294400000,113496579.00000000,13444804.74834000,4.7971,0.8275,0.1725,1.8111,0.6443,0.3557,5.6890,0.8505,0.1495,0.0000,0.1184500,0.00000250
1715294700000,113455584.00000000,13476387.01055328,4.6786,0.8239,0.1761,1.7997,0.6428,0.3572,5.5531,0.8474,0.1526,0.0020,0.1188300,0.00023500
