timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,basisRate,futuresPrice,basis
1715286900000,552686895.00000000,10473179.00488515,1.5119,0.6019,0.3981,1.3994,0.5832,0.4168,1.5661,0.6103,0.3897,-0.0008,0.019009,-0.00001429
1715287200000,553221117.00000000,10519112.28497310,1.5310,0.6049,0.3951,1.4006,0.5834,0.4166,1.5833,0.6129,0.3871,-0.0004,0.018952,-0.00000789
1715287500000,552445831.00000000,10470505.83494300,1.5342,0.6054,0.3946,1.4104,0.5851,0.4149,1.5786,0.6122,0.3878,-0.0003,0.018926,-0.00000537
1715287800000,552990907.00000000,10465540.93188338,1.5265,0.6042,0.3958,1.4082,0.5848,0.4152,1.5720,0.6112,0.3888,-0.0008,0.018906,-0.00001520
1715288100000,552643867.00000000,10452451.88425918,1.5246,0.6039,0.3961,1.4061,0.5844,0.4156,1.5714,0.6111,0.3889,-0.0010,0.018928,-0.00001929
1715288400000,552284562.00000000,10457392.20171198,1.5246,0.6039,0.3961,1.4050,0.5842,0.4158,1.5700,0.6109,0.3891,-0.0007,0.019040,-0.00001334
1715288700000,552770064.00000000,10526400.32875200,1.4882,0.5981,0.4019,1.4085,0.5848,0.4152,1.5342,0.6054,0.3946,-0.0006,0.019089,-0.00001203
1715289000000,554199719.00000000,10579523.00178587,1.4820,0.5971,0.4029,1.4107,0.5852,0.4148,1.5355,0.6056,0.3944,-0.0009,0.019012,-0.00001677
1715289300000,554705560.00000000,10548314.21129360,1.4882,0.5981,0.4019,1.4136,0.5857,0.4143,1.5465,0.6073,0.3927,-0.0006,0.018980,-0.00001220
1715289600000,553568390.00000000,10508942.31576000,1.4863,0.5978,0.4022,1.4152,0.5860,0.4140,1.5465,0.6073,0.3927,-0.0005,0.018983,-0.00000911
1715289900000,553556393.00000000,10507607.45192600,1.4938,0.5990,0.4010,1.4157,0.5860,0.4140,1.5478,0.6075,0.3925,-0.0006,0.018992,-0.00001106
1715290200000,553409812.00000000,10509252.32988000,1.4863,0.5978,0.4022,1.4155,0.5860,0.4140,1.5439,0.6069,0.3931,-0.0007,0.019043,-0.00001351
1715290500000,552941936.00000000,10529673.28724800,1.4826,0.5972,0.4028,1.4168,0.5862,0.4138,1.5394,0.6062,0.3938,-0.0014,0.019031,-0.00002643
1715290800000,552623325.00000000,10521754.68983625,1.4685,0.5949,0.4051,1.4098,0.5850,0.4150,1.5471,0.6074,0.3926,-0.0004,0.019108,-0.00000757
1715291100000,551848183.00000000,10545818.77713000,1.4643,0.5942,0.4058,1.4100,0.5851,0.4149,1.5510,0.6080,0.3920,-0.0010,0.019127,-0.00001874
1715291400000,552623645.00000000,10569656.67383640,1.4618,0.5938,0.4062,1.4057,0.5843,0.4157,1.5323,0.6051,0.3949,-0.0008,0.019248,-0.00001551
1715291700000,553701686.00000000,10661243.57607014,1.4600,0.5935,0.4065,1.4032,0.5839,0.4161,1.5381,0.6060,0.3940,-0.0009,0.019220,-0.00001806
1715292000000,553459976.00000000,10638679.60846888,1.4396,0.5901,0.4099,1.3964,0.5827,0.4173,1.5170,0.6027,0.3973,-0.0011,0.019323,-0.00002223
1715292300000,553625184.00000000,10702809.39088032,1.4474,0.5914,0.4086,1.3980,0.5830,0.4170,1.5342,0.6054,0.3946,-0.0009,0.019301,-0.00001749
1715292600000,552649770.00000000,10667798.51031000,1.4468,0.5913,0.4087,1.4015,0.5836,0.4164,1.5387,0.6061,0.3939,-0.0008,0.019273,-0.00001606
1715292900000,552832366.00000000,10657248.04885964,1.4606,0.5936,0.4064,1.3932,0.5821,0.4179,1.5867,0.6134,0.3866,-0.0009,0.019215,-0.00001726
1715293200000,549224283.00000000,10553893.82212800,1.4480,0.5915,0.4085,1.3916,0.5819,0.4181,1.5426,0.6067,0.3933,-0.0012,0.019341,-0.00002283
1715293500000,551010082.00000000,10662480.38466478,1.4480,0.5915,0.4085,1.3894,0.5815,0.4185,1.5523,0.6082,0.3918,-0.0008,0.019400,-0.00001617
1715293800000,549801708.00000000,10666164.13123416,1.4510,0.5920,0.4080,1.3929,0.5821,0.4179,1.5304,0.6048,0.3952,-0.0013,0.019369,-0.00002551
1715294100000,550061845.00000000,10659263.45096350,1.4534,0.5924,0.4076,1.3933,0.5822,0.4178,1.5445,0.6070,0.3930,-0.0007,0.019391,-0.00001337
1715294400000,549960009.00000000,10664258.03571873,1.4468,0.5913,0.4087,1.3938,0.5822,0.4178,1.5349,0.6055,0.3945,-0.0008,0.019396,-0.00001477
1715294700000,549897026.00000000,10669679.49032930,1.4746,0.5959,0.4041,1.3907,0.5817,0.4183,1.5615,0.6096,0.3904,-0.0006,0.019428,-0.00001254
1715295000000,545975140.00000000,10607996.68387300,1.4728,0.5956,0.4044,1.3907,0.5817,0.4183,1.5727,0.6113,0.3887,-0.0009,0.019418,-0.00001823
1715295300000,545255051.00000000,10590979.58511890,1.4802,0.5968,0.4032,1.3911,0.5818,0.4182,1.5661,0.6103,0.3897,-0.0003,0.019376,-0.00000631
1715295600000,545618997.00000000,10573004.92386600,1.4882,0.5981,0.4019,1.3966,0.5827,0.4173,1.5523,0.6082,0.3918,-0.0007,0.019289,-0.00001446
1715295900000,545969641.00000000,10531503.22885514,1.5075,0.6012,0.3988,1.3962,0.5827,0.4173,1.5860,0.6133,0.3867,-0.0014,0.019226,-0.00002637
1715296200000,544586385.00000000,10474672.55463930,1.4963,0.5994,0.4006,1.3995,0.5832,0.4168,1.5800,0.6124,0.3876,-0.0006,0.019303,-0.00001143
1715296500000,544160683.00000000,10503933.66394900,1.5094,0.6015,0.3985,1.4033,0.5839,0.4161,1.5907,0.6140,0.3860,-0.0008,0.019261,-0.00001449
1715296800000,544107975.00000000,10480607.81445000,1.5157,0.6025,0.3975,1.4054,0.5843,0.4157,1.5934,0.6144,0.3856,-0.0010,0.019226,-0.00001971
1715297100000,543935140.00000000,10459067.71819280,1.5151,0.6024,0.3976,1.4041,0.5840,0.4160,1.5981,0.6151,0.3849,-0.0012,0.019216,-0.00002249
1715297400000,543969052.00000000,10455204.85263144,1.5031,0.6005,0.3995,1.4035,0.5839,0.4161,1.5674,0.6105,0.3895,-0.0008,0.019269,-0.00001531
1715297700000,544773889.00000000,10499427.16269700,1.5088,0.6014,0.3986,1.4032,0.5839,0.4161,1.5714,0.6111,0.3889,-0.0008,0.019256,-0.00001517
1715298000000,544823783.00000000,10492341.72248409,1.5189,0.6030,0.3970,1.4020,0.5837,0.4163,1.5753,0.6117,0.3883,-0.0007,0.019260,-0.00001349
1715298300000,544941481.00000000,10494483.04109800,1.5183,0.6029,0.3971,1.4038,0.5840,0.4160,1.5727,0.6113,0.3887,-0.0009,0.019357,-0.00001746
1715298600000,550071882.00000000,10649325.62689416,1.4697,0.5951,0.4049,1.4005,0.5834,0.4166,1.5297,0.6047,0.3953,-0.0007,0.019434,-0.00001417
1715298900000,553546662.00000000,10760487.66555054,1.4716,0.5954,0.4046,1.4003,0.5834,0.4166,1.5316,0.6050,0.3950,-0.0003,0.019430,-0.00000660
1715299200000,554877609.00000000,10781271.94287000,1.4752,0.5960,0.4040,1.4010,0.5835,0.4165,1.5259,0.6041,0.3959,-0.0006,0.019436,-0.00001103
1715299500000,556348621.00000000,10813636.87665280,1.4832,0.5973,0.4027,1.4000,0.5833,0.4167,1.5361,0.6057,0.3943,0.0000,0.019545,-0.00000077
1715299800000,557000964.00000000,10883358.80579844,1.4697,0.5951,0.4049,1.3987,0.5831,0.4169,1.5189,0.6030,0.3970,-0.0008,0.019509,-0.00001569
1715300100000,557030030.00000000,10871555.09551000,1.4697,0.5951,0.4049,1.3957,0.5826,0.4174,1.5221,0.6035,0.3965,-0.0008,0.019538,-0.00001589
1715300400000,558752608.00000000,10921154.97492480,1.4820,0.5971,0.4029,1.3978,0.5830,0.4170,1.5497,0.6078,0.3922,-0.0004,0.019512,-0.00000860
1715300700000,558685888.00000000,10901458.95305984,1.4808,0.5969,0.4031,1.3967,0.5828,0.4172,1.5400,0.6063,0.3937,-0.0005,0.019479,-0.00000983
1715301000000,559743231.00000000,10904385.87027255,1.4808,0.5969,0.4031,1.3952,0.5825,0.4175,1.5400,0.6063,0.3937,-0.0005,0.019460,-0.00000934
