timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,basisRate,futuresPrice,basis
1715287200000,67507488.00000000,5495433.55914240,2.9139,0.7445,0.2555,1.5884,0.6137,0.3863,2.6711,0.7276,0.2724,-0.0015,0.0814000,-0.00011921
1715287500000,67499130.00000000,5491814.94069510,2.9017,0.7437,0.2563,1.5879,0.6136,0.3864,2.6724,0.7277,0.2723,-0.0013,0.0813700,-0.00010914
1715287800000,67491236.00000000,5493111.69804000,2.9032,0.7438,0.2562,1.5874,0.6135,0.3865,2.6860,0.7287,0.2713,-0.0015,0.0813900,-0.00012053
1715288100000,67495575.00000000,5495910.21393225,2.9032,0.7438,0.2562,1.5868,0.6134,0.3866,2.6711,0.7276,0.2724,-0.0014,0.0814300,-0.00011008
1715288400000,67496570.00000000,5493545.83230000,2.9108,0.7443,0.2557,1.5867,0.6134,0.3866,2.6778,0.7281,0.2719,-0.0003,0.0814000,-0.00002071
1715288700000,67572640.00000000,5513708.48864640,2.8986,0.7435,0.2565,1.5835,0.6129,0.3871,2.6887,0.7289,0.2711,0.0004,0.0816200,0.00003075
1715289000000,67541394.00000000,5512879.19558862,2.8655,0.7413,0.2587,1.5855,0.6132,0.3868,2.7106,0.7305,0.2695,0.0001,0.0816400,0.00001008
1715289300000,67526311.00000000,5504069.60961000,2.8820,0.7424,0.2576,1.5864,0.6134,0.3866,2.7300,0.7319,0.2681,-0.0003,0.0814900,-0.00002811
1715289600000,67459668.00000000,5494820.67066456,2.9216,0.7450,0.2550,1.5876,0.6135,0.3865,2.6996,0.7297,0.2703,0.0000,0.0814500,-0.00000326
1715289900000,67397751.00000000,5485502.95389000,2.9216,0.7450,0.2550,1.5895,0.6138,0.3862,2.7092,0.7304,0.2696,0.0000,0.0814000,-0.00000059
1715290200000,67401589.00000000,5485815.32871000,2.9231,0.7451,0.2549,1.5891,0.6138,0.3862,2.7092,0.7304,0.2696,-0.0001,0.0813900,-0.00001187
1715290500000,67401465.00000000,5482435.16310000,2.9185,0.7448,0.2552,1.5884,0.6137,0.3863,2.7106,0.7305,0.2695,-0.0001,0.0813400,-0.00000800
1715290800000,67320795.00000000,5479594.95884760,2.9246,0.7452,0.2548,1.5920,0.6142,0.3858,2.7244,0.7315,0.2685,-0.0004,0.0813600,-0.00003515
1715291100000,67349441.00000000,5479093.89055002,2.9494,0.7468,0.2532,1.6014,0.6156,0.3844,2.7779,0.7353,0.2647,-0.0001,0.0813600,-0.00000559
1715291400000,67357023.00000000,5479493.82105000,3.0177,0.7511,0.2489,1.6008,0.6155,0.3845,2.7750,0.7351,0.2649,0.0004,0.0813900,0.00003580
1715291700000,67337747.00000000,5490767.02680290,3.0177,0.7511,0.2489,1.6013,0.6156,0.3844,2.7764,0.7352,0.2648,0.0004,0.0815700,0.00003542
1715292000000,67344850.00000000,5487830.13577650,3.0112,0.7507,0.2493,1.6020,0.6157,0.3843,2.7807,0.7355,0.2645,-0.0002,0.0814700,-0.00001838
1715292300000,67312213.00000000,5485506.48387124,3.0193,0.7512,0.2488,1.6017,0.6156,0.3844,2.7922,0.7363,0.2637,-0.0001,0.0814800,-0.00000472
1715292600000,67333706.00000000,5491230.71189088,3.0112,0.7507,0.2493,1.6038,0.6159,0.3841,2.7965,0.7366,0.2634,0.0006,0.0815800,0.00004531
1715292900000,67306609.00000000,5497603.82312000,3.0177,0.7511,0.2489,1.6023,0.6157,0.3843,2.7908,0.7362,0.2638,0.0005,0.0816800,0.00003968
1715293200000,67320954.00000000,5491037.65226724,3.0064,0.7504,0.2496,1.5980,0.6151,0.3849,2.8095,0.7375,0.2625,0.0001,0.0815700,0.00000503
1715293500000,67320541.00000000,5491010.02474615,3.0241,0.7515,0.2485,1.5981,0.6151,0.3849,2.8095,0.7375,0.2625,0.0003,0.0815800,0.00002677
1715293800000,67316842.00000000,5495701.20542744,3.0241,0.7515,0.2485,1.5973,0.6150,0.3850,2.8081,0.7374,0.2626,0.0002,0.0816500,0.00001413
1715294100000,67325070.00000000,5495291.69312820,3.0128,0.7508,0.2492,1.5962,0.6148,0.3852,2.8153,0.7379,0.2621,-0.0004,0.0816000,-0.00003236
1715294400000,67313673.00000000,5508950.99832000,3.0274,0.7517,0.2483,1.5960,0.6148,0.3852,2.8270,0.7387,0.2613,-0.0004,0.0818300,-0.00002970
1715294700000,67249924.00000000,5512476.27028000,3.0306,0.7519,0.2481,1.5971,0.6150,0.3850,2.8183,0.7381,0.2619,0.0001,0.0819800,0.00000546
1715295000000,67302164.00000000,5527225.88864692,3.0193,0.7512,0.2488,1.5988,0.6152,0.3848,2.8110,0.7376,0.2624,-0.0006,0.0821000,-0.00004593
1715295300000,67335514.00000000,5533444.67443594,3.0502,0.7531,0.2469,1.6015,0.6156,0.3844,2.7951,0.7365,0.2635,-0.0008,0.0821500,-0.00006619
1715295600000,67372059.00000000,5528957.41505577,3.0339,0.7521,0.2479,1.6024,0.6157,0.3843,2.8183,0.7381,0.2619,-0.0011,0.0820500,-0.00008649
1715295900000,67469679.00000000,5522393.22615000,3.0519,0.7532,0.2468,1.6028,0.6158,0.3842,2.8270,0.7387,0.2613,-0.0008,0.0818800,-0.00006808
1715296200000,67570519.00000000,5519905.97044976,3.0584,0.7536,0.2464,1.6041,0.6160,0.3840,2.8432,0.7398,0.2602,-0.0016,0.0816700,-0.00013018
1715296500000,67609933.00000000,5515618.33414000,3.0783,0.7548,0.2452,1.6055,0.6162,0.3838,2.8760,0.7420,0.2580,-0.0009,0.0815800,-0.00007194
1715296800000,67571518.00000000,5517890.15988000,3.1085,0.7566,0.2434,1.6044,0.6160,0.3840,2.8610,0.7410,0.2590,-0.0006,0.0816600,-0.00005133
1715297100000,67561877.00000000,5510652.06780404,3.0984,0.7560,0.2440,1.6070,0.6164,0.3836,2.8491,0.7402,0.2598,-0.0009,0.0815600,-0.00006962
1715297400000,67542631.00000000,5510708.02818029,3.0883,0.7554,0.2446,1.6073,0.6165,0.3835,2.8388,0.7395,0.2605,-0.0011,0.0815600,-0.00008725
1715297700000,67670736.00000000,5523010.05242448,3.0883,0.7554,0.2446,1.6116,0.6171,0.3829,2.7864,0.7359,0.2641,-0.0017,0.0815500,-0.00013959
